Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-0.433157
1.000000	|	0.000000
2.000000	|	-0.193763
3.000000	|	-0.307481
4.000000	|	-0.253546
5.000000	|	-0.306208
6.000000	|	-0.341411
7.000000	|	-0.405033
8.000000	|	-0.661589
9.000000	|	-0.686285
10.000000	|	-0.870030
11.000000	|	-1.088131
12.000000	|	-1.106177
13.000000	|	-1.363240
14.000000	|	-1.573435
15.000000	|	-1.642639
16.000000	|	-1.967084
17.000000	|	-1.922730
18.000000	|	-2.229240
19.000000	|	-2.382587
20.000000	|	-2.600107
21.000000	|	-2.798220
22.000000	|	-2.957708
23.000000	|	-3.086545
24.000000	|	-3.259495
25.000000	|	-3.631450
26.000000	|	-3.682335
27.000000	|	-3.891757
28.000000	|	-4.062799
29.000000	|	-4.275431
30.000000	|	-4.369030
31.000000	|	-4.635584
32.000000	|	-4.843324
33.000000	|	-5.031720
34.000000	|	-5.016298
35.000000	|	-5.396265
36.000000	|	-5.494895
37.000000	|	-5.638898
38.000000	|	-5.757399
39.000000	|	-5.931811
40.000000	|	-6.171185
41.000000	|	-6.271624
42.000000	|	-6.557286
43.000000	|	-6.594229
44.000000	|	-6.633128
45.000000	|	-7.055201
46.000000	|	-7.172842
47.000000	|	-7.350077
48.000000	|	-7.394203
49.000000	|	-7.619488
50.000000	|	-7.681076
51.000000	|	-7.854536
52.000000	|	-7.969539
53.000000	|	-8.058116
54.000000	|	-8.153725
55.000000	|	-8.358148
56.000000	|	-8.525610
57.000000	|	-8.632108
58.000000	|	-8.718487
59.000000	|	-8.897272
60.000000	|	-8.881467
61.000000	|	-9.160274
62.000000	|	-9.257821
63.000000	|	-9.314413
64.000000	|	-9.432307
65.000000	|	-9.624649
66.000000	|	-9.753226
67.000000	|	-9.876044
68.000000	|	-9.911168
69.000000	|	-9.987911
70.000000	|	-10.167349
71.000000	|	-10.293904
72.000000	|	-10.272733
73.000000	|	-10.445971
74.000000	|	-10.657326
75.000000	|	-10.838889
76.000000	|	-10.868889
77.000000	|	-10.942654
78.000000	|	-11.037498
79.000000	|	-11.153222
80.000000	|	-11.223148
81.000000	|	-11.305324
82.000000	|	-11.405070
83.000000	|	-11.524098
84.000000	|	-11.749977
85.000000	|	-11.869985
86.000000	|	-11.897969
87.000000	|	-11.876887
88.000000	|	-11.990001
89.000000	|	-12.077664
90.000000	|	-12.215358
91.000000	|	-12.240472
92.000000	|	-12.214450
93.000000	|	-12.385419
94.000000	|	-12.604913
95.000000	|	-12.782581
96.000000	|	-12.697341
97.000000	|	-12.718256
98.000000	|	-12.854160
99.000000	|	-13.018267
100.000000	|	-12.988323
101.000000	|	-13.072176
102.000000	|	-13.099006
103.000000	|	-13.246241
104.000000	|	-13.285103
105.000000	|	-13.452403
